master_cusip,dateann,master_deal_no,tmanames,amanames,afinancial,albofirm,alp,dateannorig,form,status,anation,apublic,deal_value
3J0992,2019-04-30,3387351020,Ingersoll-Rand US Holdco Inc,Gardner Denver Holdings Inc,No,No,No,2019-04-30,Merger,Completed,United States,Public,8735.5
3J1250,2019-05-02,3387638020,Acelity Inc,3M Co,No,No,No,2019-05-02,Merger,Completed,United States,Public,6725
5J7303,2019-12-15,3438808020,Dupont-Nutrition & Biosciences,International Flavors & Fragra,No,No,No,2019-08-07,Merger,Completed,United States,Public,33500
87236Y,2019-11-25,3479721020,TD Ameritrade Holding Corp,Charles Schwab Corp,No,No,No,2019-11-21,Merger,Completed,United States,Public,28304.747
655044,2020-07-20,3610019020,Noble Energy Inc,Chevron Corp,No,No,No,2020-07-20,Merger,Completed,United States,Public,5035.99
5K9878,2020-09-23,3638966020,United Wholesale Mortgage LLC,Gores Holdings IV Inc,No,No,No,2020-09-22,Merger,Completed,United States,Public,16237.431
83088V,2020-12-01,3664650020,Slack Technologies Inc,Salesforce.com Inc,No,No,No,2020-11-25,Merger,Completed,United States,Public,28418.792
55303C,2021-05-26,3676729020,MGM Holdings Inc,Amazon.com Inc,No,No,No,2020-12-21,Merger,Completed,United States,Public,8450
7H0147,2021-02-22,3685402020,Lucid Motors USA Inc,Churchill Capital Corp IV,No,No,No,2021-01-11,Merger,Completed,United States,Public,11750
712704,2021-02-22,3700450020,People's United Financial Inc,M&T Bank Corp,No,No,No,2021-02-22,Merger,Completed,United States,Public,7530.285
69355F,2021-04-15,3728332020,PPD Inc,Thermo Fisher Scientific Inc,No,No,No,2021-04-14,Merger,Completed,United States,Public,17307.148
171798,2021-05-24,3744148020,Cimarex Energy Co,Cabot Oil & Gas Corp,No,No,No,2021-05-24,Merger,Completed,United States,Public,7540.926
6L7178,2021-07-12,3769908020,MSP Recovery LLC,Lionheart Acquisition Corp II,No,No,No,2021-07-12,Merger,Completed,United States,Public,32500
045327,2021-10-11,3812049020,Aspen Technology Inc,Emerson Electric Co,No,No,No,2021-10-06,Merger,Completed,United States,Public,10864.939
904214,2021-10-12,3812869020,Umpqua Holdings Corp,Columbia Banking System Inc,No,No,No,2021-10-12,Merger,Completed,United States,Public,5147.06
2L6347,2021-12-15,3846599020,CMC Materials Inc,Entegris Inc,No,No,No,2021-12-15,Merger,Completed,United States,Public,5729.282
156782,2021-12-20,3847595020,Cerner Corp,Oracle Corp,No,No,No,2021-12-16,Merger,Completed,United States,Public,28171.86
928542,2022-12-06,4009317020,Vivint Smart Home Inc,NRG Energy Inc,No,No,No,2022-12-06,Merger,Completed,United States,Public,5189.872
0P3309,2023-06-12,4091996020,Adenza Holdings Inc,Nasdaq Inc,No,No,No,2023-06-12,Merger,Completed,United States,Public,10700.735
45253H,2023-11-30,4163608020,ImmunoGen Inc,AbbVie Inc,No,No,No,2023-11-30,Merger,Completed,United States,Public,10219.621
254709,2024-02-19,4196458020,Discover Financial Services,Capital One Financial Corp,No,No,No,2024-02-19,Merger,Completed,United States,Public,35302.476
017361,2010-02-11,2155247020,Allegheny Energy Inc,FirstEnergy Corp,No,No,No,2010-02-11,Merger,Completed,United States,Public,8503.235
576206,2011-01-29,2230996020,Massey Energy Co,Alpha Natural Resources Inc,No,No,No,2010-10-18,Merger,Completed,United States,Public,7165.243
743263,2011-01-10,2268963020,Progress Energy Inc,Duke Energy Corp,No,No,No,2011-01-08,Merger,Completed,United States,Public,25818.327
28336L,2011-10-16,2353699020,El Paso Corp,Kinder Morgan Inc,No,No,No,2011-10-16,Merger,Completed,United States,Public,34061.09
01845R,2012-06-19,2426049040,Alliance Boots GmbH,Walgreen Co,No,No,No,2012-06-19,Merger,Completed,United States,Public,15292.484
53217V,2013-04-15,2488420020,Life Technologies Corp,Thermo Fisher Scientific Inc,No,No,No,2013-01-17,Merger,Completed,United States,Public,15501.388
36430M,2013-05-10,2522980020,Warner Chilcott PLC,Actavis Inc,No,No,No,2013-05-10,Merger,Completed,United States,Public,5096.078
283702,2014-08-10,2663270020,El Paso Pipeline Partners LP,Kinder Morgan Inc,No,No,No,2014-08-10,Merger,Completed,United States,Public,5288.503
716933,2015-03-04,2727596020,Pharmacyclics Inc,AbbVie Inc,No,No,No,2015-02-25,Merger,Completed,United States,Public,20773.968
6C8806,2015-03-27,2737861020,The Dow Chem Co- Chlor-Alkali,Olin Corp,No,No,No,2015-03-27,Merger,Completed,United States,Public,5000
021441,2015-06-01,2738084020,Altera Corp,Intel Corp,No,No,No,2015-03-27,Merger,Completed,United States,Public,16299.31
148887,2015-03-30,2738592020,Catamaran Corp,UnitedHealth Group Inc,No,No,No,2015-03-30,Merger,Completed,United States,Public,12827.924
42222G,2015-07-02,2771383020,Health Net Inc,Centene Corp,No,No,No,2015-07-02,Merger,Completed,United States,Public,6149.622
001204,2015-08-24,2793763020,AGL Resources Inc,Southern Co,No,No,No,2015-08-24,Merger,Completed,United States,Public,7944.362
13342B,2015-08-26,2794567020,Cameron International Corp,Schlumberger Ltd,No,No,No,2015-08-26,Merger,Completed,United States,Public,12766.346
87611X,2015-11-03,2816892020,Targa Resources Partners LP,Targa Resources Corp,No,No,No,2015-11-03,Merger,Completed,United States,Public,6082.227
60056Z,2015-11-11,2816904020,MillerCoors LLC,Molson Coors Brewing Co,No,No,No,2015-11-03,Merger,Completed,United States,Public,12000
471109,2015-12-14,2835557020,Jarden Corp,Newell Rubbermaid Inc,No,No,No,2015-12-07,Merger,Completed,United States,Public,15435.135
263534,2015-12-11,2837782020,DuPont,The Dow Chemical Co,No,No,No,2015-12-09,Merger,Completed,United States,Public,62141.056
920355,2016-03-20,2936217020,Valspar Corp,Sherwin-Williams Co,No,No,No,2016-03-20,Merger,Completed,United States,Public,9308.673
0C4170,2016-03-21,2936492040,Markit Ltd,IHS Inc,No,No,No,2016-03-21,Merger,Completed,United States,Public,5492.355
6E0074,2016-05-24,2962597020,Hewlett Packard Entrp-business,Computer Sciences Corp,No,No,No,2016-05-24,Merger,Completed,United States,Public,8500
68557N,2017-09-18,3151271020,Orbital ATK Inc,Northrop Grumman Corp,No,No,No,2017-09-17,Merger,Completed,United States,Public,9170.755
12650T,2018-02-09,3212274020,CSRA Inc,General Dynamics Corp,No,No,No,2018-02-09,Merger,Completed,United States,Public,9590.864
35950L,2018-05-07,3234097040,Frutarom Industries Ltd,International Flavors & Fragra,No,No,No,2018-04-11,Merger,Completed,United States,Public,6354.719
22021L,2018-06-18,3256618020,Corporate Ppty Assoc 17-Global,WP Carey Inc,No,No,No,2018-06-18,Merger,Completed,United States,Public,5749.651
12673P,2018-07-11,3266289020,Ca Inc,Broadcom Inc,No,No,No,2018-06-11,Merger,Completed,United States,Public,18828.209
756577,2018-10-28,3303665020,Red Hat Inc,IBM,No,No,No,2018-10-28,Merger,Completed,United States,Public,33555.37
G0551A,2018-11-08,3304081020,Arris International Plc,Commscope Holding Co Inc,No,No,No,2018-10-24,Merger,Completed,United States,Public,7876.972
32008D,2019-01-16,3334705020,First Data Corp,Fiserv Inc,No,No,No,2019-01-16,Merger,Completed,United States,Public,21656.463
891906,2019-05-28,3397174020,Total System Services Inc,Global Payments Inc,No,No,No,2019-05-24,Merger,Completed,United States,Public,21997.327
00401C,2019-07-09,3426694020,Acacia Communications Inc,Cisco Systems Inc,No,No,No,2019-07-09,Merger,Completed,United States,Public,5032.108
531172,2019-10-27,3470248020,Liberty Property Trust,Prologis Inc,No,No,No,2019-10-27,Merger,Completed,United States,Public,12600
N47279,2019-10-29,3471031040,Interxion Holding NV,Digital Realty Trust Inc,No,No,No,2019-10-29,Merger,Completed,United States,Public,7161.567
539183,2020-08-05,3617548020,Livongo Health Inc,Teladoc Health Inc,No,No,No,2020-08-05,Merger,Completed,United States,Public,17539.058
3F3172,2020-09-21,3635479020,GRAIL Inc,Illumina Inc,No,No,No,2020-09-16,Merger,Completed,United States,Public,6395.9
20605P,2020-10-19,3647487020,Concho Resources Inc,ConocoPhillips,No,No,No,2020-10-13,Merger,Completed,United States,Public,9678.672
7K2403,2020-11-18,3661525040,Arrival SARL,CIIG Merger Corp,No,No,No,2020-11-18,Merger,Completed,United States,Public,5338.35
15912K,2021-01-06,3683511020,Change Healthcare Inc,UnitedHealth Group Inc,No,No,No,2021-01-06,Merger,Completed,United States,Public,8712.514
84327P,2021-01-07,3684178020,Social Finance Inc,Social Capital Hedosophia V,No,No,No,2021-01-07,Merger,Completed,United States,Public,6569.84
6F3800,2021-03-03,3705005020,Auth0 Inc,Okta Inc,No,No,No,2021-03-03,Merger,Completed,United States,Public,6252.724
8K5610,2021-03-04,3705367020,Hippo Enterprises Inc,Reinvent Technology Partners Z,No,No,No,2021-03-04,Merger,Completed,United States,Public,5522
3C5350,2021-03-26,3718132020,WeWork Cos Inc,BowX Acquisition Corp,No,No,No,2021-01-29,Merger,Completed,United States,Public,6379.346
92339V,2021-04-29,3734977020,VEREIT Inc,Realty Income Corp,No,No,No,2021-04-29,Merger,Completed,United States,Public,11105.378
4H8966,2021-04-27,3733874020,Kindred at Home Inc,Humana Inc,No,No,No,2021-04-27,Merger,Completed,United States,Public,5700
98986T,2022-01-10,3859429020,Zynga Inc,Take-Two Interactive Software,No,No,No,2022-01-10,Merger,Completed,United States,Public,12382.165
848637,2023-09-21,3873738020,Splunk Inc,Cisco Systems Inc,No,No,No,2022-02-11,Merger,Completed,United States,Public,28133.135
017175,2022-03-21,3890852020,Alleghany Corp,Berkshire Hathaway Inc,No,No,No,2022-03-21,Merger,Completed,United States,Public,11569.194
30057T,2023-01-23,4030038020,Evoqua Water Technologies Corp,Xylem Inc,No,No,No,2023-01-23,Merger,Completed,United States,Public,6622.011
53223X,2023-04-03,4056750020,Life Storage Inc,Extra Space Storage Inc,No,No,No,2023-02-05,Merger,Completed,United States,Public,12456.062
8L8276,2023-06-13,4084522040,Viterra Ltd,Bunge Global SA,No,No,No,2023-05-25,Merger,Completed,United States,Public,17952.624
75615P,2023-07-28,4112995020,Reata Pharmaceuticals Inc,Biogen Inc,No,No,No,2023-07-28,Merger,Completed,United States,Public,7533.082
60468T,2023-10-08,4142036020,Mirati Therapeutics Inc,Bristol-Myers Squibb Co,No,No,No,2023-10-08,Merger,Completed,United States,Public,5115.447
210371,2011-04-28,2229022020,Constellation Energy Group Inc,Exelon Corp,No,No,No,2010-10-12,Merger,Completed,United States,Public,7840.105
743410,2011-01-26,2274917020,ProLogis,Amb Property Corp,No,No,No,2011-01-26,Merger,Completed,United States,Public,8364.708
87702K,2011-04-18,2301120020,Synthes Inc,Johnson & Johnson,No,No,No,2011-04-15,Merger,Completed,United States,Public,20097.788
683399,2013-06-30,2366130020,Onyx Pharmaceuticals Inc,Amgen Inc,No,No,No,2011-11-28,Merger,Completed,United States,Public,9692.505
19329V,2013-10-23,2577956020,Cole Real Estate Investments,American Rlty Capital Ppty Inc,No,No,No,2013-10-23,Merger,Completed,United States,Public,6952.602
018490,2014-11-17,2677195020,Allergan Inc,Actavis PLC,No,No,No,2014-04-21,Merger,Completed,United States,Public,68445.401
87159A,2015-05-06,2749602020,Synageva BioPharma Corp,Alexion Pharmaceuticals Inc,No,No,No,2015-05-06,Merger,Completed,United States,Public,8394.258
696429,2015-05-13,2751561020,Pall Corp,Danaher Corp,No,No,No,2015-05-12,Merger,Completed,United States,Public,13700.064
740189,2015-08-10,2789583020,Precision Castparts Corp,Berkshire Hathaway Inc,No,No,No,2015-08-08,Merger,Completed,United States,Public,31594.556
58390T,2016-02-10,2919826040,Meda AB,Mylan NV,No,No,No,2016-02-10,Merger,Completed,United States,Public,7170.223
5E3582,2016-04-28,2952395020,Stemcentrx Inc,AbbVie Inc,No,No,No,2016-04-28,Merger,Completed,United States,Public,9793.75
44970B,2016-05-03,2953743020,IMS Health Holdings Inc,Quintiles Transnatl Hldg Inc,No,No,No,2016-05-03,Merger,Completed,United States,Public,8858.479
58501N,2016-08-22,2953946020,Medivation Inc,Pfizer Inc,No,No,No,2016-03-23,Merger,Completed,United States,Public,14118.272
762760,2017-06-19,3116235020,Rice Energy,EQT Corp,No,No,No,2017-06-19,Merger,Completed,United States,Public,6576.386
90130A,2017-12-14,3173017020,21st Century Fox Inc,Walt Disney Co,No,No,No,2017-11-06,Merger,Completed,United States,Public,84197.032
48205A,2018-01-22,3203182020,Juno Therapeutics Inc,Celgene Corp,No,No,No,2018-01-16,Merger,Completed,United States,Public,9615.929
74978Q,2018-03-28,3229223020,RSP Permian Inc,Concho Resources Inc,No,No,No,2018-03-28,Merger,Completed,United States,Public,9510.338
896047,2018-12-03,3309230020,Tribune Media Co,Nexstar Media Group Inc,No,No,No,2018-09-06,Merger,Completed,United States,Public,6400
380956,2019-01-14,3333510040,Goldcorp Inc,Newmont Mining Corp,No,No,No,2019-01-14,Merger,Completed,United States,Public,9965.711
62563H,2020-07-12,3600945020,MultiPlan Inc,Churchill Capital Corp III,No,No,No,2020-07-12,Merger,Completed,United States,Public,5678
57772K,2020-07-13,3600947020,Maxim Integrated Products Inc,Analog Devices Inc,No,No,No,2020-07-12,Merger,Completed,United States,Public,21290.859
12487Q,2021-02-03,3693945020,CCC Information Services Inc,Dragoneer Growth Opportunities,No,No,No,2021-02-03,Merger,Completed,United States,Public,6542
36197T,2021-02-03,3693951040,GW Pharmaceuticals PLC,Jazz Pharmaceuticals PLC,No,No,No,2021-02-03,Merger,Completed,United States,Public,6826.66
3K7508,2021-03-29,3719004040,Cazoo Ltd,AJAX I Acquisition Corp,No,No,No,2021-03-29,Merger,Completed,United States,Public,6380
4L5724,2021-09-15,3737334040,Pagaya Technologies Ltd,Ejf Acquisition Corp,No,No,No,2021-04-22,Merger,Completed,United States,Public,7973
0J5752,2021-07-15,3750329020,Aurora Innovation Inc,Reinvent Technology Partners Y,No,No,No,2021-06-04,Merger,Completed,United States,Public,11000
3J2756,2021-09-13,3783818020,The Rocket Science Group LLC,Intuit Inc,No,No,No,2021-08-12,Merger,Completed,United States,Public,12000
9C1695,2021-09-27,3805707040,Polestar Performance AB,Gores Guggenheim Inc,No,No,No,2021-09-27,Merger,Completed,United States,Public,20003
00507V,2022-01-18,3863269020,Activision Blizzard Inc,Microsoft Corp,No,No,No,2022-01-18,Merger,Completed,United States,Public,75621.309
003654,2022-11-01,3995248020,ABIOMED Inc,Johnson & Johnson,No,No,No,2022-11-01,Merger,Completed,United States,Public,19182.376
0N0980,2023-03-06,4048059020,Energy Harbor Corp,Vistra Corp,No,No,No,2023-03-06,Merger,Completed,United States,Public,6763
559080,2023-05-14,4078512020,Magellan Midstream Partners LP,ONEOK Inc,No,No,No,2023-05-14,Merger,Completed,United States,Public,18641.704
G0060R,2023-08-28,4124119040,Abcam PLC,Danaher Corp,No,No,No,2023-08-25,Merger,Completed,United States,Public,5503.303
48203R,2024-01-09,4180895020,Juniper Networks Inc,Hewlett Packard Enterprise Co,No,No,No,2024-01-08,Merger,Completed,United States,Public,13576.994
075811,2011-02-07,2248553020,Beckman Coulter Inc,Danaher Corp,No,No,No,2010-12-09,Merger,Completed,United States,Public,5782.221
G24140,2012-05-21,2417111040,Cooper Industries PLC,Eaton Corp,No,No,No,2012-05-21,Merger,Completed,United States,Public,11460.741
726505,2012-12-05,2474162020,Plains Expl & Prodn Co,Freeport-McMoRan Copper & Gold,No,No,No,2012-12-05,Merger,Completed,United States,Public,6450.389
284131,2013-07-29,2550299040,Elan Corp PLC,Perrigo Co,No,No,No,2013-06-14,Merger,Completed,United States,Public,8537.994
421933,2013-07-30,2550721020,Health Management Assoc Inc,Community Health Systems Inc,No,No,No,2013-06-12,Merger,Completed,United States,Public,7547.683
090613,2014-04-24,2631368020,Biomet Inc,Zimmer Holdings Inc,No,No,No,2014-04-24,Merger,Completed,United States,Public,13350
432589,2014-05-29,2641303020,Hillshire Brands Co,Tyson Foods Inc,No,No,No,2014-05-27,Merger,Completed,United States,Public,7726.846
441060,2015-02-05,2722118020,Hospira Inc,Pfizer Inc,No,No,No,2015-02-05,Merger,Completed,United States,Public,15820.238
82966C,2015-09-15,2801043020,Sirona Dental Systems Inc,DENTSPLY International Inc,No,No,No,2015-09-15,Merger,Completed,United States,Public,5484.098
720186,2015-10-26,2814297020,Piedmont Natural Gas Co Inc,Duke Energy Corp,No,No,No,2015-10-26,Merger,Completed,United States,Public,6594.905
F90676,2016-05-19,2855213040,Technip SA,FMC Technologies Inc,No,No,No,2015-12-09,Merger,Completed,United States,Public,6773.251
53578A,2016-06-13,2955022020,LinkedIn Corp,Microsoft Corp,No,No,No,2016-04-21,Merger,Completed,United States,Public,26638.847
29413U,2016-06-15,2970487020,Envision Healthcare Hldg Inc,AmSurg Corp,No,No,No,2016-06-08,Merger,Completed,United States,Public,5109.655
52729N,2016-10-31,3026387020,Level 3 Commun Inc,CenturyLink Inc,No,No,No,2016-10-27,Merger,Completed,United States,Public,25136.253
26613Q,2017-06-09,3112909020,DuPont Fabros Tech Inc,Digital Realty Trust Inc,No,No,No,2017-06-09,Merger,Completed,United States,Public,5731.873
00817Y,2017-12-03,3168570020,Aetna Inc,CVS Health Corp,No,No,No,2017-10-26,Merger,Completed,United States,Public,67822.818
09531U,2018-02-23,3216076020,Blue Buffalo Pet Products Inc,General Mills Inc,No,No,No,2018-02-23,Merger,Completed,United States,Public,7926.884
595137,2018-03-01,3216919020,Microsemi Corp,Microchip Technology Inc,No,No,No,2018-02-27,Merger,Completed,United States,Public,8107.33
83084V,2018-02-27,3216950040,Sky PLC,Comcast Corp,No,No,No,2016-01-29,Merger,Completed,United States,Public,39913.424
625207,2018-03-20,3226117020,MuleSoft Inc,Salesforce.com Inc,No,No,No,2018-03-20,Merger,Completed,United States,Public,6744.086
3H8059,2018-05-21,3237450020,Gen Elec Co-Transp Bus,Westinghouse Air Brake Tech Co,No,No,No,2018-02-21,Merger,Completed,United States,Public,9629.953
92240G,2018-04-23,3237507020,Vectren Corp,CenterPoint Energy Inc,No,No,No,2018-04-23,Merger,Completed,United States,Public,5981.81
6H5109,2018-08-31,3238580040,Costa Ltd,Coca-Cola Co,No,No,No,2018-01-03,Merger,Completed,United States,Public,5073.12
29265N,2018-08-14,3277022020,Energen Corp,Diamondback Energy Inc,No,No,No,2018-08-14,Merger,Completed,United States,Public,9137.639
G0177J,2019-06-25,3420434020,Allergan PLC,AbbVie Inc,No,No,No,2019-06-25,Merger,Completed,United States,Public,62117.141
5J5156,2019-07-29,3434950020,Upjohn Inc,Mylan NV,No,No,No,2019-07-27,Merger,Completed,United States,Public,24623.46
9C7087,2019-10-04,3462384020,Hess Infrastructure Partners,Hess Midstream Partners LP,No,No,No,2019-10-04,Merger,Completed,United States,Public,6194.2
269246,2020-02-20,3516586020,E*TRADE Financial Corp,Morgan Stanley,No,No,No,2017-06-30,Merger,Completed,United States,Public,13136.801
2E7371,2020-02-24,3517450020,Credit Karma Inc,Intuit Inc,No,No,No,2020-02-22,Merger,Completed,United States,Public,7100
13158Q,2020-07-29,3614604040,CPA Global Ltd,Clarivate PLC,No,No,No,2020-07-29,Merger,Completed,United States,Public,7069.501
G47567,2020-11-30,3665937040,IHS Markit Ltd,S&P Global Inc,No,No,No,2020-11-29,Merger,Completed,United States,Public,43478.099
26681M,2020-12-02,3667547020,Dyal Capital Partners LP,Altimar Acquisition Corp,No,No,No,2020-12-02,Merger,Completed,United States,Public,6682.5
9K6616,2020-12-02,3677779020,Owl Rock Capital Grp,Altimar Acquisition Corp,No,No,No,2020-12-02,Merger,Completed,United States,Public,5467.5
2H1652,2021-02-24,3689557020,Joby Aero Inc,Reinvent Technology Partners,No,No,No,2021-01-21,Merger,Completed,United States,Public,5000
2L3046,2021-02-23,3701187040,Ardagh Metal Packaging SA,Gores Holdings V Inc,No,No,No,2021-02-23,Merger,Completed,United States,Public,9326.153
2A5493,2021-03-21,3714812040,Ironsource Ltd,Thoma Bravo Advantage,No,No,No,2021-03-21,Merger,Completed,United States,Public,10000
2F2946,2021-05-11,3724324020,Ginkgo Bioworks Inc,Soaring Eagle Acquisition Corp,No,No,No,2021-04-09,Merger,Completed,United States,Public,16855.8
55303A,2021-08-04,3780532020,MGM Growth Properties LLC,VICI Properties Inc,No,No,No,2021-08-04,Merger,Completed,United States,Public,16598.657
G6829J,2021-12-23,3851185020,Ortho Clinical Diagnostics,Quidel Corp,No,No,No,2021-12-23,Merger,Completed,United States,Public,8094.559
67181A,2023-02-08,4024408020,Oak Street Health Inc,CVS Health Corp,No,No,No,2023-01-09,Merger,Completed,United States,Public,9901.581
723787,2023-10-11,4064316020,Pioneer Natural Resources Co,Exxon Mobil Corp,No,No,No,2023-04-07,Merger,Completed,United States,Public,60273.912
69327R,2023-05-22,4082202020,PDC Energy Inc,Chevron Corp,No,No,No,2023-05-22,Merger,Completed,United States,Public,6352.302
88378A,2024-02-12,4167012020,Endeavor Energy Resources LP,Diamondback Energy Inc,No,No,No,2023-12-08,Merger,Completed,United States,Public,25794.105
8P9937,2024-02-28,4200361020,Webull Corp,SK Growth Opportunities Corp,No,No,No,2024-02-28,Merger,Completed,United States,Public,7700
23496H,2024-03-26,4214469040,DS Smith Plc,International Paper Co,No,No,No,2024-02-08,Merger,Completed,United States,Public,7230.554
78239M,2024-03-28,4215500020,SRS Distribution Inc,Home Depot Inc,No,No,No,2024-03-28,Merger,Completed,United States,Public,18250
82489T,2024-04-05,4215552020,Shockwave Medical Inc,Johnson & Johnson,No,No,No,2024-03-27,Merger,Completed,United States,Public,14074.24
832110,2010-02-21,2157465020,Smith International Inc,Schlumberger Ltd,No,No,No,2010-02-19,Merger,Completed,United States,Public,11041.61
118759,2010-11-15,2239300020,Bucyrus International Inc,Caterpillar Inc,No,No,No,2010-11-15,Merger,Completed,United States,Public,7453.19
62985Q,2011-07-20,2330401020,Nalco Holding Co,Ecolab Inc,No,No,No,2011-07-20,Merger,Completed,United States,Public,8111.839
58405U,2011-07-21,2330697020,Medco Health Solutions Inc,Express Scripts Inc,No,No,No,2011-07-21,Merger,Completed,United States,Public,29370.067
222862,2012-08-20,2443150020,Coventry Health Care Inc,Aetna Inc,No,No,No,2012-08-20,Merger,Completed,United States,Public,5695.423
92769L,2013-02-05,2493405020,Virgin Media Inc,Liberty Global Inc,No,No,No,2013-02-05,Merger,Completed,United States,Public,16381.387
93187K,2015-11-02,2506234040,Visa Europe Ltd,Visa Inc,No,No,No,2013-03-19,Merger,Completed,United States,Public,21354.563
501902,2013-12-16,2593353020,LSI Corp,Avago Technologies Ltd,No,No,No,2013-12-16,Merger,Completed,United States,Public,6685.514
713291,2014-04-30,2632713020,Pepco Holdings Inc,Exelon Corp,No,No,No,2014-04-30,Merger,Completed,United States,Public,6829.45
25490A,2014-05-18,2633051020,DirecTV Inc,AT&T Inc,No,No,No,2014-05-01,Merger,Completed,United States,Public,48082.294
774415,2014-07-15,2655953020,Rockwood Holdings Inc,Albemarle Corp,No,No,No,2014-07-15,Merger,Completed,United States,Public,6327.516
772739,2015-01-26,2718249020,Rock-Tenn Co,MeadWestvaco Corp,No,No,No,2015-01-26,Merger,Completed,United States,Public,8143.265
681904,2015-05-21,2746063020,Omnicare Inc,CVS Health Corp,No,No,No,2015-04-22,Merger,Completed,United States,Public,14076.629
88732J,2015-05-26,2746685020,Time Warner Cable Inc,Charter Communications Inc,No,No,No,2015-04-24,Merger,Completed,United States,Public,55637.581
85590A,2015-11-16,2747950020,Starwood Hotels & Resorts,Marriott International Inc,No,No,No,2015-04-29,Merger,Completed,United States,Public,13568.473
0E8794,2017-07-04,2760262040,Worldpay Group PLC,Vantiv Inc,No,No,No,2017-07-04,Merger,Completed,United States,Public,9814.099
790849,2016-04-28,2795211020,St Jude Medical Inc,Abbott Labs,No,No,No,2015-08-27,Merger,Completed,United States,Public,24733.341
032420,2016-05-16,2958733020,Anacor Pharmaceuticals Inc,Pfizer Inc,No,No,No,2016-05-16,Merger,Completed,United States,Public,5540.799
64118Q,2016-07-28,2988799020,NetSuite Inc,Oracle Corp,No,No,No,2016-07-28,Merger,Completed,United States,Public,8891.197
111621,2016-11-02,3030905020,Brocade Commun Sys Inc,Broadcom Ltd,No,No,No,2016-11-02,Merger,Completed,United States,Public,5535.782
91915W,2018-01-22,3204736040,Validus Holdings Ltd,American International Group,No,No,No,2018-01-22,Merger,Completed,United States,Public,5564.702
